,Text,Label
146,BeEF,O
147,.,O
148,The,O
149,threat,O
150,actor,O
151,targeted,O
152,numerous,O
153,entities,O
154,in,O
155,Iran,O
156,",",O
157,the,O
158,U,O
159,.,O
160,S,O
161,".,",O
162,Israel,O
163,",",O
164,the,O
165,U,O
166,.,O
167,K,O
168,.,O
169,and,O
170,other,O
171,countries,O
172,.,O
173,The,O
174,hackers,O
175,also,O
176,hit,O
177,individuals,O
178,involved,O
179,in,O
180,academic,B-Target
181,research,I-Target
182,",",O
183,human,B-Target
184,rights,I-Target
185,",",O
186,and,O
187,the,O
188,media,B-Target
189,.,O
190,ClearSky,O
191,detailed,O
192,the,O
193,group,O
194,’,O
195,s,O
196,activities,O
197,during,O
198,2016,O
199,-,O
200,2017,O
201,",",O
202,the,O
203,report,O
204,includes,O
205,information,O
206,related,O
207,to,O
208,the,O
209,infrastructure,O
210,used,O
211,by,O
212,the,O
213,APT,O
214,and,O
215,to,O
216,a,O
217,new,O
218,strain,O
219,of,O
220,malware,O
221,dubbed,O
222,DownPaper,B-Malware
223,.,O
224,The,O
225,report,O
226,also,O
227,linked,O
228,the,O
229,hacker,O
230,behind,O
231,the,O
232,HBO,O
233,security,O
234,breach,O
235,to,O
236,the,O
237,Charming,B-Actor
238,Kitten,I-Actor
239,",",O
240,and,O
241,reveals,O
242,the,O
243,identities,O
244,of,O
245,two,O
246,other,O
247,alleged,O
248,members,O
249,of,O
250,the,O
251,group,O
252,.,O
253,Last,O
254,month,O
255,",",O
256,the,O
257,United,O
258,States,O
259,charged,O
260,the,O
261,Iranian,O
262,computer,O
263,expert,O
264,Behzad,O
265,Mesri,O
266,of,O
267,‘,O
268,Games,O
269,of,O
270,Thrones,O
271,‘,O
272,HBO,O
273,Hack,O
274,",",O
275,the,O
276,man,O
277,was,O
278,charged,O
279,with,O
280,stealing,O
281,scripts,O
282,and,O
283,plot,O
284,summaries,O
285,for,O
286,‘,O
287,Games,O
288,of,O
289,Thrones,O
290,’.,O
291,The,O
292,Manhattan,O
293,US,O
294,attorney,O
295,Joon,O
296,Kim,O
297,said,O
298,Mesri,O
299,is,O
300,“,O
301,had,O
302,previously,O
303,hacked,O
304,computer,O
305,systems,O
306,for,O
307,the,O
308,Iranian,O
309,military,O
310,”.,O
311,The,O
312,man,O
313,threatened,O
314,to,O
315,release,O
316,stolen,O
317,data,O
318,unless,O
319,HBO,O
320,paid,O
321,a,O
322,$,O
323,6,O
324,million,O
325,ransom,O
326,in,O
327,Bitcoin,O
328,.,O
329,Prosecutors,O
330,confirmed,O
331,that,O
332,the,O
333,Iranian,O
334,man,O
335,was,O
336,a,O
337,member,O
338,of,O
339,the,O
340,Iranian,O
341,-,O
342,based,O
343,Turk,B-Actor
344,Black,I-Actor
345,Hat,I-Actor
346,Security,I-Actor
347,hacking,O
348,group,O
349,that,O
350,targeted,O
351,hundreds,O
352,of,O
353,websites,O
354,in,O
355,the,O
356,United,O
357,States,O
358,and,O
359,around,O
360,the,O
361,world,O
362,.,O
363,“,O
364,MESRI,O
365,is,O
366,an,O
367,Iran,O
368,-,O
369,based,O
370,computer,O
371,hacker,O
372,who,O
373,had,O
374,previously,O
375,worked,O
376,on,O
377,behalf,O
378,of,O
379,the,O
380,Iranian,O
381,military,O
382,to,O
383,conduct,O
384,computer,O
385,network,O
386,attacks,O
387,that,O
388,targeted,O
389,military,B-Target
390,systems,I-Target
391,",",O
392,nuclear,B-Target
393,software,I-Target
394,systems,I-Target
395,",",O
396,and,O
397,Israeli,O
398,infrastructure,B-Target
399,.”,O
400,continues,O
401,the,O
402,DoJ,O
403,.,O
404,“,O
405,At,O
406,certain,O
407,times,O
408,",",O
409,MESRI,O
410,has,O
411,been,O
412,a,O
413,member,O
414,of,O
415,an,O
416,Iran,O
417,-,O
418,based,O
419,hacking,O
420,group,O
421,called,O
422,the,O
423,Turk,B-Actor
424,Black,I-Actor
425,Hat,I-Actor
426,security,O
427,team,O
428,and,O
429,",",O
430,as,O
431,a,O
432,member,O
433,of,O
434,that,O
435,group,O
436,",",O
437,conducted,O
438,hundreds,O
439,of,O
440,website,O
441,defacements,O
442,using,O
443,the,O
444,online,O
445,hacker,O
446,pseudonym,O
447,“,O
448,Skote,O
449,Vahshat,O
450,”,O
451,against,O
452,websites,O
453,in,O
454,the,O
455,United,O
456,States,O
457,and,O
458,elsewhere,O
459,.”,O
460,Experts,O
461,discovered,O
462,that,O
463,Masri,O
464,and,O
465,Charming,B-Actor
466,Kitten,I-Actor
467,were,O
468,linked,O
469,through,O
470,the,O
471,member,O
472,of,O
473,Turk,B-Actor
474,Black,I-Actor
475,Hat,I-Actor
476,group,O
477,“,O
478,ArYaIeIrAN,O
479,.”,O
480,another,O
481,member,O
482,of,O
483,Turk,B-Actor
484,Black,I-Actor
485,Hat,I-Actor
486,.,I-Actor
487,The,O
488,email,O
489,addresses,O
490,associated,O
491,with,O
492,this,O
493,individual,O
494,have,O
495,been,O
496,used,O
497,to,O
498,register,O
499,several,O
500,domains,O
501,used,O
502,by,O
503,the,O
504,Charming,B-Actor
505,Kitten,I-Actor
506,.,O
507,ClearSky,O
508,also,O
509,discovered,O
510,that,O
511,the,O
512,same,O
513,email,O
514,address,O
515,was,O
516,also,O
517,used,O
518,by,O
519,threat,O
520,actors,O
521,to,O
522,registered,O
523,a,O
524,domain,O
525,for,O
526,an,O
527,Iranian,O
528,hosting,O
529,firm,O
530,named,O
531,MahanServer,O
532,",",O
533,which,O
534,has,O
535,hosted,O
536,Charming,B-Actor
537,Kitten,I-Actor
538,infrastructure,O
539,.,O
540,“,O
541,To,O
542,sum,O
543,up,O
544,",",O
545,the,O
546,HBO,O
547,hacker,O
548,–,O
549,Behzad,O
550,Mesri,O
551,is,O
552,a,O
553,member,O
554,of,O
555,Turk,B-Actor
556,Black,I-Actor
557,Hat,I-Actor
558,along,O
559,with,O
560,ArYaIeIrAn,O
561,",",O
562,who,O
563,provides,O
564,infrastructure,O
565,for,O
566,Charming,B-Actor
567,Kitten,I-Actor
568,activity,O
569,via,O
570,PersianDNS,O
571,/,O
572,Mahanserver,O
573,together,O
574,with,O
575,Mohammad,O
576,Rasoul,O
577,Akbari,O
578,",",O
579,who,O
580,is,O
581,a,O
582,Facebook,O
583,friend,O
584,of,O
585,Behzad,O
586,Mesri,O
587,’,O
588,s,O
589,.”,O
590,states,O
591,the,O
592,report,O
593,.,O
594,“,O
595,We,O
596,tend,O
597,to,O
598,identify,O
599,ArYaIeIrAn,O
600,with,O
601,Mohammadamin,O
602,Keshvari,O
603,",",O
604,because,O
605,the,O
606,latter,O
607,is,O
608,the,O
609,only,O
610,other,O
611,employee,O
612,of,O
613,Mahanserver,O
614,and,O
615,works,O
616,in,O
617,a,O
618,company,O
619,whose,O
620,domain,O
621,was,O
622,registered,O
623,by,O
624,the,O
625,former,O
626,(,O
627,and,O
628,both,O
629,have,O
630,a,O
631,similar,O
632,and,O
633,unique,O
634,profile,O
635,picture,O
636,).,O
637,We,O
638,estimate,O
639,with,O
640,medium,O
641,certainty,O
642,that,O
643,the,O
644,three,O
645,are,O
646,directly,O
647,connected,O
648,to,O
649,Charming,B-Actor
650,Kitten,I-Actor
651,",",O
652,and,O
653,potentially,O
654,",",O
655,along,O
656,with,O
657,others,O
658,–,O
659,are,O
660,Charming,B-Actor
661,Kitten,I-Actor
662,”,O
663,Iranian,O
664,hackers,O
665,are,O
666,becoming,O
667,even,O
668,more,O
669,aggressive,O
670,even,O
671,if,O
672,experts,O
673,believe,O
674,that,O
675,they,O
676,are,O
677,not,O
678,particularly,O
679,sophisticated,O
680,.,O
681,Recently,O
682,we,O
683,discussed,O
684,the,O
685,OilRig,B-Actor
686,gang,O
687,has,O
688,been,O
689,using,O
690,a,O
691,new,O
692,Trojan,O
693,in,O
694,attacks,O
695,aimed,O
696,at,O
697,targets,O
698,in,O
699,the,O
700,Middle,O
701,East,O
702,.,O
703,OilRig,B-Actor
704,is,O
705,just,O
706,one,O
707,of,O
708,the,O
709,Iran,O
710,-,O
711,linked,O
712,hacker,O
713,crews,O
714,",",O
715,other,O
716,groups,O
717,tracked,O
718,by,O
719,security,O
720,experts,O
721,are,O
722,APT33,B-Actor
723,",",O
724,Rocket,B-Actor
725,Kitten,I-Actor
726,",",O
727,Cobalt,B-Actor
728,Gypsy,I-Actor
729,(,O
730,Magic,B-Actor
731,Hound,I-Actor
732,"),",O
733,Charming,B-Actor
734,Kitten,I-Actor
735,(,O
736,aka,O
737,Newscaster,B-Actor
738,and,O
739,NewsBeef,B-Actor
740,),O
741,and,O
742,CopyKittens,B-Actor
743,.,O
744,Pierluigi,O
745,Paganini,O
746,(,O
747,Security,O
748,Affairs,O
749,–,O
750,Charming,B-Actor
751,Kitten,I-Actor
752,",",O
753,Iranian,O
754,hackers,O
755,),O
756,Share,O
757,On,O
